id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
334482,67,Goal,0.973000031,0.572999992,0.524204075,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11775,Leicester,Everton,2,1,01/12/19 16:30,Kelechi Iheanacho,Rebound
334484,74,MissedShots,0.925,0.494000015,0.399857491,Jamie Vardy,h,755,OpenPlay,2019,Head,11775,Leicester,Everton,2,1,01/12/19 16:30,Youri Tielemans,Cross
335022,54,Goal,0.885,0.5,0.761168838,Jamie Vardy,h,755,Penalty,2019,RightFoot,11785,Leicester,Watford,2,0,04/12/19 19:30,,Standard
335025,59,BlockedShot,0.908000031,0.648000031,0.124560401,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11785,Leicester,Watford,2,0,04/12/19 19:30,Youri Tielemans,Pass
336324,3,SavedShot,0.905999985,0.605999985,0.077471286,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11793,Aston Villa,Leicester,1,4,08/12/19 14:00,Kelechi Iheanacho,Chipped
336331,20,Goal,0.981999969,0.475999985,0.97988677,Jamie Vardy,a,755,OpenPlay,2019,LeftFoot,11793,Aston Villa,Leicester,1,4,08/12/19 14:00,Kelechi Iheanacho,TakeOn
336333,23,BlockedShot,0.850999985,0.562000008,0.102252483,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11793,Aston Villa,Leicester,1,4,08/12/19 14:00,James Maddison,Pass
336350,74,Goal,0.875999985,0.375999985,0.469170928,Jamie Vardy,a,755,OpenPlay,2019,RightFoot,11793,Aston Villa,Leicester,1,4,08/12/19 14:00,Dennis Praet,Throughball
337045,37,MissedShots,0.974000015,0.410999985,0.032553695,Jamie Vardy,h,755,FromCorner,2019,Head,11807,Leicester,Norwich,1,1,14/12/19 15:00,James Maddison,Foul
337049,47,ShotOnPost,0.94,0.801999969,0.104646258,Jamie Vardy,h,755,OpenPlay,2019,LeftFoot,11807,Leicester,Norwich,1,1,14/12/19 15:00,James Maddison,TakeOn
337050,51,SavedShot,0.908000031,0.599000015,0.088521264,Jamie Vardy,h,755,OpenPlay,2019,RightFoot,11807,Leicester,Norwich,1,1,14/12/19 15:00,Ben Chilwell,Cross
